id_operacion;fecha_operacion;codigo;Marca;Modelo;Anio de lanzamiento;Anio de discontinuado;Tipo de combustible;Transmision;Plazas;Tipo de carroceria;Gama;Precio_Base_0km;Anio_fabricacion;km;precio_actual;codigo2;color
a992aa69-07573;23/12/2020;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2017;125100;32086;7;Verde
62d7ca7d-10148;21/8/2020;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2020;84300;49827;6;Azul
1581e4e1-09998;24/2/2020;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2018;110800;38161;4;Plata
e949bfa5-06797;27/2/2021;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2015;168900;13652;1;Blanco
bf5f8419-07453;15/12/2020;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2018;88000;43428;4;Plata
84204975-10358;5/10/2020;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2016;119900;30515;7;Verde
7bcc0201-00527;16/9/2020;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2018;89300;43128;3;Gris
be70dd94-05914;22/8/2020;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2015;133200;24671;2;Negro
215c9929-08138;7/9/2020;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2015;146700;21552;8;Beige
fe0dd8ed-08942;17/8/2020;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2016;151600;23192;1;Blanco
03d36d66-03179;4/5/2020;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2018;108200;38762;6;Azul
e77114fd-10246;24/10/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2016;133600;16262;7;Verde
3ca993e0-08753;27/1/2021;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2016;133600;24578;2;Negro
7e217c09-10111;18/2/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2022;36700;55278;8;Beige
a851e5d9-08722;25/8/2022;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2022;45200;58859;6;Azul
426c0441-00301;1/7/2023;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2021;53800;51328;6;Azul
5a57fc30-04950;6/12/2022;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2015;134600;18803;7;Verde
8ff6c09e-08035;2/3/2023;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2016;143900;16655;7;Verde
fc0cc34e-03742;18/7/2022;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2019;99900;37907;5;Rojo
5d0946ae-00546;14/4/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2024;16700;65442;5;Rojo
afa46571-06301;24/10/2022;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2020;83400;44491;4;Plata
c39051a0-10189;14/4/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2023;33300;58836;6;Azul
c0a4a7b9-08671;21/11/2021;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2015;146400;18850;1;Blanco
